# # Photon energy [keV]  | Scatt. cohe. | Scatt. incohe. | Photoelectric | Pair produc. in nucl. field | Pair produc. in elec. field | Total attenuation with cohe. scatt. | Total attenuation without cohe. scatt. | all in [cm2/g]
6.0000e+01 3.3270e-01 1.0730e-01 1.1110e+01 0.0000e+00 0.0000e+00 1.1550e+01 1.1220e+01 0.0000e+00
8.0000e+01 2.0770e-01 1.0830e-01 5.1400e+00 0.0000e+00 0.0000e+00 5.4560e+00 5.2480e+00 0.0000e+00
1.0000e+02 1.4130e-01 1.0730e-01 2.7920e+00 0.0000e+00 0.0000e+00 3.0400e+00 2.8990e+00 0.0000e+00
1.5000e+02 6.8830e-02 1.0160e-01 9.0550e-01 0.0000e+00 0.0000e+00 1.0760e+00 1.0070e+00 0.0000e+00
2.0000e+02 4.0940e-02 9.5500e-02 4.0620e-01 0.0000e+00 0.0000e+00 5.4260e-01 5.0170e-01 0.0000e+00
3.0000e+02 1.9280e-02 8.5120e-02 1.3360e-01 0.0000e+00 0.0000e+00 2.3800e-01 2.1870e-01 0.0000e+00
4.0000e+02 1.1150e-02 7.7200e-02 6.2570e-02 0.0000e+00 0.0000e+00 1.5090e-01 1.3980e-01 0.0000e+00
5.0000e+02 7.2520e-03 7.0970e-02 3.5670e-02 0.0000e+00 0.0000e+00 1.1390e-01 1.0660e-01 0.0000e+00
6.0000e+02 5.0920e-03 6.5940e-02 2.3000e-02 0.0000e+00 0.0000e+00 9.4040e-02 8.8950e-02 0.0000e+00
8.0000e+02 2.9020e-03 5.8210e-02 1.2010e-02 0.0000e+00 0.0000e+00 7.3120e-02 7.0220e-02 0.0000e+00
1.0000e+03 1.8700e-03 5.2470e-02 7.5180e-03 0.0000e+00 0.0000e+00 6.1860e-02 5.9990e-02 0.0000e+00
1.0220e+03 1.7920e-03 5.1910e-02 7.1970e-03 0.0000e+00 0.0000e+00 6.0900e-02 5.9110e-02 0.0000e+00
1.2500e+03 1.2040e-03 4.7000e-02 4.8510e-03 2.5150e-04 0.0000e+00 5.3300e-02 5.2100e-02 0.0000e+00
1.5000e+03 8.3810e-04 4.2760e-02 3.4640e-03 1.1630e-03 0.0000e+00 4.8220e-02 4.7390e-02 0.0000e+00
2.0000e+03 4.7280e-04 3.6520e-02 2.1030e-03 3.7540e-03 0.0000e+00 4.2850e-02 4.2370e-02 0.0000e+00
2.0440e+03 4.5300e-04 3.6070e-02 2.0280e-03 3.9990e-03 0.0000e+00 4.2550e-02 4.2100e-02 0.0000e+00
3.0000e+03 2.1070e-04 2.8760e-02 1.1090e-03 9.0390e-03 1.0050e-05 3.9130e-02 3.8920e-02 0.0000e+00
4.0000e+03 1.1860e-04 2.4000e-02 7.3110e-04 1.3560e-02 4.0980e-05 3.8450e-02 3.8330e-02 0.0000e+00
5.0000e+03 7.5970e-05 2.0730e-02 5.3860e-04 1.7420e-02 8.1560e-05 3.8850e-02 3.8770e-02 0.0000e+00
6.0000e+03 5.2750e-05 1.8320e-02 4.2400e-04 2.0750e-02 1.2510e-04 3.9670e-02 3.9620e-02 0.0000e+00
7.0000e+03 3.8770e-05 1.6470e-02 3.4830e-04 2.3690e-02 1.6840e-04 4.0710e-02 4.0670e-02 0.0000e+00
8.0000e+03 2.9690e-05 1.4990e-02 2.9500e-04 2.6330e-02 2.1030e-04 4.1850e-02 4.1820e-02 0.0000e+00
9.0000e+03 2.3460e-05 1.3780e-02 2.5560e-04 2.8720e-02 2.5040e-04 4.3030e-02 4.3010e-02 0.0000e+00
1.0000e+04 1.9000e-05 1.2770e-02 2.2520e-04 3.0920e-02 2.8840e-04 4.4220e-02 4.4200e-02 0.0000e+00
1.1000e+04 1.5700e-05 1.1910e-02 2.0120e-04 3.2960e-02 3.2430e-04 4.5400e-02 4.5390e-02 0.0000e+00
1.2000e+04 1.3200e-05 1.1170e-02 1.8180e-04 3.4840e-02 3.5810e-04 4.6560e-02 4.6550e-02 0.0000e+00
1.3000e+04 1.1240e-05 1.0520e-02 1.6570e-04 3.6600e-02 3.9000e-04 4.7690e-02 4.7680e-02 0.0000e+00
1.4000e+04 9.6930e-06 9.9550e-03 1.5220e-04 3.8230e-02 4.2050e-04 4.8770e-02 4.8760e-02 0.0000e+00
1.5000e+04 8.4450e-06 9.4510e-03 1.4070e-04 3.9750e-02 4.4900e-04 4.9800e-02 4.9790e-02 0.0000e+00
1.6000e+04 7.4220e-06 9.0000e-03 1.3080e-04 4.1170e-02 4.7590e-04 5.0790e-02 5.0780e-02 0.0000e+00
1.8000e+04 5.8650e-06 8.2270e-03 1.1460e-04 4.3710e-02 5.2630e-04 5.2580e-02 5.2580e-02 0.0000e+00
2.0000e+04 4.7510e-06 7.5850e-03 1.0200e-04 4.5970e-02 5.7220e-04 5.4230e-02 5.4230e-02 0.0000e+00
2.2000e+04 3.9260e-06 7.0460e-03 9.1900e-05 4.8030e-02 6.1380e-04 5.5790e-02 5.5780e-02 0.0000e+00
